mmsi,max_jump_km
211222680,2.1
211222710,8.8
211223120,7.1
211223210,3.6
211224560,169.8
211224740,15.2
211225780,6.2
211226360,17.5
211226940,172.1
211227550,182.2
211227920,8.5
211228510,52.9
211228710,37.2
211230400,193.1
211230940,7.7
211231360,206.6
211232830,4.6
211233270,115.0
211233580,110.1
211235420,120.3
211238020,40.4
211239210,56.5
211240410,2.9
211243090,14.6
211245320,2.6
211249410,3.6
211249620,5.5
211251380,47.1
211258290,2.9
211261500,14.8
211261510,54.3
211261620,18.0
211263600,2.9
211265530,277.0
211265560,16.5
211265620,6.4
211269540,74.6
211269680,3.6
211269690,3.8
211272150,349.4
211273620,2.5
211275750,103.8
211276390,24.3
211278890,5.3
211278920,3.4
211280780,6.8
211281490,88.7
211281860,5.4
211283420,16.0
211283440,91.3
211283530,34.6
211284030,232.5
211284080,5.7
211284350,177.3
211284510,14.4
211284920,8.0
211285440,32.8
211286060,130.6
211286440,270.9
211286770,38.0
211287170,17.4
211287730,17.5
211288410,34.2
211290200,2.1
211291060,45.1
211291150,98.7
211291350,435.2
211292030,4.3
211299980,2.6
211302010,5.1
211302560,18.5
211302570,311.3
211302700,2.6
211302790,307.1
211303520,4.0
211305200,33.3
211307860,223.3
211307880,3.5
211308150,5.2
211308180,40.1
211308320,49.0
211309820,45.0
211309950,7.9
211311700,18.3
211312660,124.3
211314140,5.1
211316430,45.9
211317180,2.4
211318800,36.1
211319140,57.2
211320060,149.0
211321270,4.0
211324380,18.2
211325510,193.6
211325980,224.4
211326550,13.4
211327400,425.0
211327620,32.4
211328370,61.7
211330490,61.5
211331670,18.7
211333870,7.7
211336400,32.0
211340310,14.7
211340700,8.7
211340710,12.0
211340800,4.9
211340860,89.6
211341460,37.3
211345510,120.5
211347040,217.2
211350820,21.9
211351670,5.0
211351860,27.4
211355760,101.9
211356090,67.8
211356660,9.0
211360780,2.8
211363380,6.7
211363550,14.3
211365920,3.0
211372180,52.9
211372700,2.0
211373570,8.4
211374820,2.1
211375070,36.0
211375680,55.0
211375980,6.1
211378300,36.5
211379520,22.4
211380370,54.7
211383360,5.2
211383810,5.1
211385190,147.6
211385240,48.8
211389240,12.5
211390900,25.8
211392040,2.8
211392990,20.1
211395350,7.2
211398270,93.6
211398280,38.2
211401080,22.5
211401350,2.7
211402190,7.7
211402540,2.4
211403780,19.6
211404720,55.1
211404810,57.7
211407330,106.2
211408220,13.9
211409100,102.7
211409660,8.7
211410650,142.3
211412660,284.2
211413240,18.7
211417590,6.5
211417630,34.8
211419890,58.7
211421210,17.1
211422510,124.8
211423050,9.8
211426120,9.3
211428440,2.5
211429320,2.1
211439330,132.6
211439460,152.8
