MMSI,Name,ship_type,IMO,n_suspicious_points,avg_crit,max_crit,min_sog,avg_sog,first_seen,last_seen,duration_minutes,date_utc
219024843,EVILJA,Sailing,,84,0.6052923,0.6052923,0.1,0.1,2022-09-26 04:08:08+02:00,2022-09-27 01:05:07+02:00,1256.9833333333333,2022-09-26
219011922,SCANDINAVIA,Tanker,9341419,505,0.52555203,0.6040512,0.1,0.7144554455445544,2022-09-26 02:02:36+02:00,2022-09-27 01:57:40+02:00,1435.0666666666666,2022-09-26
229561000,IMERA,Tanker,9458066,26,0.6040512,0.6040512,1.2,2.3923076923076922,2022-09-26 19:34:27+02:00,2022-09-26 19:39:27+02:00,5.0,2022-09-26
250011434,ARKLOW COVE,Cargo,9757163,344,0.6040512,0.6040512,0.1,0.20959302325581397,2022-09-26 02:11:12+02:00,2022-09-27 01:53:12+02:00,1422.0,2022-09-26
219019354,MARI,Cargo,,173,0.6035399,0.6035399,0.1,1.245664739884393,2022-09-26 08:10:27+02:00,2022-09-26 08:29:47+02:00,19.333333333333332,2022-09-26
261029310,LADY VALDA,Sailing,,10,0.5479853,0.6011799,1.1,3.28,2022-09-26 08:58:59+02:00,2022-09-26 10:04:31+02:00,65.53333333333333,2022-09-26
219023326,FRIDA,Pleasure,,832,0.5965802,0.5965802,0.1,0.35889423076923077,2022-09-26 02:02:25+02:00,2022-09-27 01:59:02+02:00,1436.6166666666666,2022-09-26
211216570,ALKOR,Other,8905880,66,0.59307057,0.59307057,0.4,1.3727272727272726,2022-09-26 06:24:14+02:00,2022-09-26 07:04:04+02:00,39.833333333333336,2022-09-26
211409930,,Undefined,,2,0.59307057,0.59307057,1.4,1.5,2022-09-26 07:50:55+02:00,2022-09-26 07:51:55+02:00,1.0,2022-09-26
219028081,MUSSE,Fishing,,744,0.5798222,0.58987206,0.2,2.402284946236559,2022-09-26 02:47:38+02:00,2022-09-26 04:47:52+02:00,120.23333333333333,2022-09-26
219016665,GUARD VESSEL BOOSTER,HSC,9646156,1519,0.58408225,0.58408225,0.1,1.87063857801185,2022-09-26 19:50:51+02:00,2022-09-27 01:59:58+02:00,369.1166666666667,2022-09-26
211303110,MIRA,Passenger,,6,0.58341455,0.58341455,0.1,0.5166666666666667,2022-09-26 12:51:45+02:00,2022-09-26 15:05:25+02:00,133.66666666666666,2022-09-26
357451000,HAMBURG CITY,Cargo,9863170,9,0.5825533,0.5825533,3.7,3.7777777777777777,2022-09-26 03:28:50+02:00,2022-09-26 03:30:00+02:00,1.1666666666666667,2022-09-26
219472000,GUARDVESSEL ADVANCER,Undefined,9686429,960,0.581834,0.581834,1.3,2.567604166666667,2022-09-26 02:00:04+02:00,2022-09-26 07:26:33+02:00,326.48333333333335,2022-09-26
229829784,,Undefined,,1,0.5716317,0.5716317,0.3,0.3,2022-09-26 09:26:51+02:00,2022-09-26 09:26:51+02:00,0.0,2022-09-26
211544130,MADVIA,Sailing,,11,0.5680522,0.5680522,2.2,3.3363636363636364,2022-09-26 10:52:00+02:00,2022-09-26 11:14:01+02:00,22.016666666666666,2022-09-26
211795900,BALTIC FUN,Pleasure,,13,0.5680522,0.5680522,0.6,2.8461538461538463,2022-09-26 10:23:05+02:00,2022-09-26 10:29:42+02:00,6.616666666666666,2022-09-26
219005068,OMOE,Passenger,9310862,309,0.5598522,0.5603225,0.4,1.8877022653721682,2022-09-26 15:21:24+02:00,2022-09-26 16:26:13+02:00,64.81666666666666,2022-09-26
477118700,UST LUGA,Tanker,9740469,43,0.55021024,0.55021024,1.1,2.1999999999999997,2022-09-26 18:42:16+02:00,2022-09-26 18:48:56+02:00,6.666666666666667,2022-09-26
211734300,HANSA,Pleasure,,5,0.5406692,0.5406692,3.8,3.8199999999999994,2022-09-26 10:16:38+02:00,2022-09-26 10:20:31+02:00,3.8833333333333333,2022-09-26
211773000,AQUIS GRANUS IV,Sailing,,10,0.5406692,0.5406692,2.4,3.1100000000000003,2022-09-26 13:44:05+02:00,2022-09-26 13:52:35+02:00,8.5,2022-09-26
211745610,NYGENSTAD,Undefined,,374,0.5376729,0.5376729,0.1,0.3893048128342246,2022-09-26 02:01:25+02:00,2022-09-27 01:58:01+02:00,1436.6,2022-09-26
244726879,MARGOT,Sailing,,116,0.5376729,0.5376729,0.1,0.10344827586206896,2022-09-26 04:35:48+02:00,2022-09-27 01:43:56+02:00,1268.1333333333334,2022-09-26
211648000,SH7 GITTE,Fishing,8341840,741,0.5276542,0.5276542,0.1,1.4686909581646423,2022-09-26 05:52:04+02:00,2022-09-26 09:34:24+02:00,222.33333333333334,2022-09-26
244207000,HENDRIKA BARTELDS,Sailing,8647141,6,0.5239758,0.5239758,3.7,3.783333333333333,2022-09-26 15:31:21+02:00,2022-09-26 15:34:42+02:00,3.35,2022-09-26
220304000,RS 194 STISHOLM,Undefined,,418,0.5232411,0.5232411,0.5,1.437799043062201,2022-09-26 02:00:08+02:00,2022-09-26 02:43:38+02:00,43.5,2022-09-26
229315000,SEA HELIOS,Tanker,9279719,44,0.5231567,0.5231567,0.1,0.1,2022-09-26 02:23:45+02:00,2022-09-27 00:02:45+02:00,1299.0,2022-09-26
305067000,LIANNE,Cargo,9422275,402,0.5231567,0.5231567,0.1,0.7955223880597015,2022-09-26 21:51:28+02:00,2022-09-27 01:48:09+02:00,236.68333333333334,2022-09-26
538009653,SEA HORIZON,Tanker,9258026,78,0.5231567,0.5231567,0.1,2.0884615384615386,2022-09-26 02:43:34+02:00,2022-09-26 16:53:07+02:00,849.55,2022-09-26
538006462,,Undefined,,1,0.515406,0.515406,0.1,0.1,2022-09-26 08:23:03+02:00,2022-09-26 08:23:03+02:00,0.0,2022-09-26
255806224,BOTHNIA,Tanker,9485356,47,0.5145342,0.5145342,0.1,0.19361702127659575,2022-09-26 02:23:04+02:00,2022-09-26 04:58:05+02:00,155.01666666666668,2022-09-26
566646000,STRATEGIC FORTITUDE,Undefined,9753387,5,0.51435065,0.51435065,0.1,0.1,2022-09-26 18:25:14+02:00,2022-09-26 21:13:26+02:00,168.2,2022-09-26
211331120,STEEL,Sailing,,1,0.51380944,0.51380944,3.0,3.0,2022-09-26 13:31:00+02:00,2022-09-26 13:31:00+02:00,0.0,2022-09-26
538008320,CAPTAIN A.STELLATOS,Tanker,9439670,13,0.5084072,0.5084072,3.9,3.8999999999999995,2022-09-26 20:08:22+02:00,2022-09-26 20:11:03+02:00,2.683333333333333,2022-09-26
211682490,WHYDAH OF BRISTOL,Sailing,,14,0.5067487,0.5067487,1.0,2.6214285714285714,2022-09-26 02:24:28+02:00,2022-09-26 02:34:58+02:00,10.5,2022-09-26
210051000,RINA,Tanker,9152820,55,0.5003143,0.5003143,0.1,1.8199999999999998,2022-09-26 04:16:28+02:00,2022-09-26 04:20:57+02:00,4.483333333333333,2022-09-26
636015849,MYKONOS SEAS,Cargo,9491240,90,0.5003143,0.5003143,0.1,1.6577777777777776,2022-09-26 05:39:23+02:00,2022-09-26 05:59:17+02:00,19.9,2022-09-26
636020601,PANOPI,Cargo,9554183,152,0.5003143,0.5003143,0.1,0.9026315789473683,2022-09-26 02:25:26+02:00,2022-09-26 04:40:57+02:00,135.51666666666668,2022-09-26
209938000,RIX SPRING,Cargo,9137296,624,1.0,1.0,0.1,0.8065705128205128,2023-10-08 03:58:30+02:00,2023-10-08 05:05:40+02:00,67.16666666666667,2023-10-08
211156470,WINDCAT 42,HSC,,1794,1.0,1.0,0.1,1.059921962095875,2023-10-08 08:07:56+02:00,2023-10-08 17:07:59+02:00,540.05,2023-10-08
211417590,SOLEA,Fishing,9314583,12205,0.82472074,1.0,0.1,1.4279147890208932,2023-10-08 04:02:28+02:00,2023-10-09 00:21:47+02:00,1219.3166666666666,2023-10-08
211653690,FELLINI DAYS,Pleasure,,243,0.93628174,1.0,0.9,2.4584362139917695,2023-10-08 06:50:55+02:00,2023-10-08 10:44:44+02:00,233.81666666666666,2023-10-08
211810060,WINDCAT 43,HSC,,1485,0.8911925,1.0,0.1,1.2027609427609427,2023-10-08 08:03:23+02:00,2023-10-08 17:35:23+02:00,572.0,2023-10-08
211871560,LUCKY DOG,Sailing,,209,0.8738925,1.0,0.1,2.573205741626794,2023-10-08 19:10:50+02:00,2023-10-08 22:40:49+02:00,209.98333333333332,2023-10-08
219000553,MHV 817 PARTISAN,Military,,147,1.0,1.0,0.1,1.672108843537415,2023-10-08 11:14:04+02:00,2023-10-08 11:24:06+02:00,10.033333333333333,2023-10-08
219000897,ANNI HOLM SG25,Fishing,,2455,0.9009567,1.0,0.4,2.544439918533605,2023-10-08 18:51:21+02:00,2023-10-09 01:20:03+02:00,388.7,2023-10-08
219001058,DANPILOT MARS,Pilot,,4,1.0,1.0,3.5,3.65,2023-10-08 07:42:07+02:00,2023-10-08 07:42:13+02:00,0.1,2023-10-08
219001604,PETUA,Fishing,,2783,0.8763669,1.0,0.3,2.562306863097377,2023-10-08 18:08:58+02:00,2023-10-09 01:59:47+02:00,470.81666666666666,2023-10-08
219004128,HANNE,Fishing,,2765,0.85157555,1.0,0.4,2.6154430379746834,2023-10-08 18:20:09+02:00,2023-10-09 01:59:49+02:00,459.6666666666667,2023-10-08
219004239,,Undefined,,8,1.0,1.0,2.5,2.575,2023-10-08 02:01:27+02:00,2023-10-08 03:26:08+02:00,84.68333333333334,2023-10-08
219004542,PINTA,Pleasure,,1,1.0,1.0,2.5,2.5,2023-10-08 13:00:07+02:00,2023-10-08 13:00:07+02:00,0.0,2023-10-08
219005921,H218 METTE,Fishing,,2457,0.92566776,1.0,0.6,2.7779405779405777,2023-10-08 19:22:20+02:00,2023-10-09 01:59:55+02:00,397.5833333333333,2023-10-08
219005956,STEPHANIE DALSOE,Fishing,,1992,0.89556456,1.0,2.4,2.5481927710843375,2023-10-08 20:39:10+02:00,2023-10-09 01:59:49+02:00,320.65,2023-10-08
219006219,FN 537 BOUET,Fishing,,2289,0.74618423,1.0,0.1,2.4451725644386193,2023-10-08 07:38:07+02:00,2023-10-08 15:50:05+02:00,491.96666666666664,2023-10-08
219012162,ARNE TISELIUS,Undefined,7517624,567,1.0,1.0,0.1,0.38924162257495587,2023-10-08 02:01:13+02:00,2023-10-09 01:58:20+02:00,1437.1166666666666,2023-10-08
219012302,NORDAHL H151,Fishing,,1842,0.88091207,1.0,0.1,2.3802931596091206,2023-10-08 20:49:34+02:00,2023-10-09 01:59:54+02:00,310.3333333333333,2023-10-08
219016372,FREYA,Sailing,,121,0.67980087,1.0,1.0,2.87603305785124,2023-10-08 14:49:55+02:00,2023-10-08 16:41:49+02:00,111.9,2023-10-08
219016961,MURSEJLER,Sailing,,69,1.0,1.0,1.8,3.3231884057971017,2023-10-08 12:19:25+02:00,2023-10-08 13:44:27+02:00,85.03333333333333,2023-10-08
219017204,BOLDER,HSC,9656993,1641,0.87368786,1.0,0.1,0.6357708714198659,2023-10-08 08:36:35+02:00,2023-10-08 15:03:21+02:00,386.76666666666665,2023-10-08
219017266,NORDVEST,Fishing,,240,0.9376869,1.0,0.1,0.7383333333333333,2023-10-08 13:14:51+02:00,2023-10-08 14:15:42+02:00,60.85,2023-10-08
219018044,KATTEGAT WIND,HSC,9664512,2658,0.9934999,1.0,0.1,0.48890142964635064,2023-10-08 08:12:44+02:00,2023-10-08 17:17:43+02:00,544.9833333333333,2023-10-08
219019688,BLUE STAR,Pleasure,,10,1.0,1.0,0.7,1.3,2023-10-08 16:44:05+02:00,2023-10-08 16:49:30+02:00,5.416666666666667,2023-10-08
219020398,SKOVEN,Other,8621408,3315,0.86828125,1.0,0.1,0.9885972850678733,2023-10-08 08:03:17+02:00,2023-10-08 17:42:17+02:00,579.0,2023-10-08
219022000,SARON S158,Fishing,9212682,4361,0.7729635,1.0,0.1,1.6961706030726897,2023-10-08 03:01:33+02:00,2023-10-09 01:59:53+02:00,1378.3333333333333,2023-10-08
219023738,EMLI PILEGAARD,Fishing,,1917,0.8099024,1.0,0.2,1.8485133020344287,2023-10-08 02:17:21+02:00,2023-10-08 08:27:21+02:00,370.0,2023-10-08
219025478,FN 111 TENNA,Fishing,,18,0.8406223,1.0,0.8,3.0,2023-10-08 12:44:13+02:00,2023-10-08 14:21:24+02:00,97.18333333333334,2023-10-08
219026750,MOVER,Undefined,9802358,142,0.600417,1.0,0.1,2.0514084507042254,2023-10-08 08:45:17+02:00,2023-10-08 16:55:42+02:00,490.4166666666667,2023-10-08
219027026,SKAGERAK,Fishing,,2940,0.8535431,1.0,0.3,2.0100680272108846,2023-10-08 04:08:22+02:00,2023-10-09 01:59:50+02:00,1311.4666666666667,2023-10-08
219027667,NORDFISK,Fishing,,433,0.9267312,1.0,0.1,1.8736720554272517,2023-10-08 10:46:07+02:00,2023-10-08 17:34:35+02:00,408.46666666666664,2023-10-08
219028043,NORTH SEA,Fishing,,12,0.72731084,1.0,1.8,1.825,2023-10-08 13:02:39+02:00,2023-10-08 15:49:49+02:00,167.16666666666666,2023-10-08
219028843,MILLE,Sailing,,15,0.7416504,1.0,3.2,3.6666666666666665,2023-10-08 10:05:08+02:00,2023-10-08 10:25:05+02:00,19.95,2023-10-08
219029563,ENERGIZER,HSC,9916563,3648,0.99749285,1.0,0.1,1.8155427631578949,2023-10-08 08:39:11+02:00,2023-10-08 16:48:08+02:00,488.95,2023-10-08
219030955,JUNIOR,Fishing,9202455,47,1.0,1.0,2.0,2.6617021276595745,2023-10-08 20:09:01+02:00,2023-10-08 20:11:57+02:00,2.933333333333333,2023-10-08
219031178,SVEA,Sailing,,80,0.99716157,1.0,1.3,3.03625,2023-10-08 10:39:40+02:00,2023-10-08 11:46:12+02:00,66.53333333333333,2023-10-08
219203000,VERA II,Undefined,5408221,6004,0.9624233,1.0,0.1,1.373234510326449,2023-10-08 02:00:28+02:00,2023-10-09 00:53:58+02:00,1373.5,2023-10-08
219904000,KATRINE O 111,Undefined,,2523,0.8781996,1.0,0.2,2.3344827586206893,2023-10-08 02:00:09+02:00,2023-10-09 01:59:56+02:00,1439.7833333333333,2023-10-08
220024000,RI158 LYNGVIG,Fishing,,1493,0.83378273,1.0,0.3,2.2869390488948427,2023-10-08 07:23:09+02:00,2023-10-09 01:59:52+02:00,1116.7166666666667,2023-10-08
220099000,RS 151 EJCA,Fishing,,1522,0.77582693,1.0,2.2,2.5699737187910645,2023-10-08 18:46:07+02:00,2023-10-09 01:59:54+02:00,433.78333333333336,2023-10-08
220336000,POLARBJORN,Fishing,,2744,0.82946205,1.0,0.1,2.515706997084548,2023-10-08 18:09:39+02:00,2023-10-09 01:59:58+02:00,470.31666666666666,2023-10-08
220345000,SG115 CECILIE MATHIL,Fishing,,2161,0.96871555,1.0,0.4,2.515872281351226,2023-10-08 20:19:44+02:00,2023-10-09 01:59:53+02:00,340.15,2023-10-08
220466000,BALTSUND,Tug,9136307,755,0.7071408,1.0,3.2,3.656953642384106,2023-10-08 02:33:03+02:00,2023-10-08 17:56:12+02:00,923.15,2023-10-08
229417000,DP GEZINA,Passenger,9295103,2002,1.0,1.0,0.1,0.20454545454545456,2023-10-08 02:02:19+02:00,2023-10-09 01:58:20+02:00,1436.0166666666667,2023-10-08
232019804,KOMMANDOR SUSAN,Towing,9177844,131,1.0,1.0,0.1,0.816030534351145,2023-10-08 06:42:52+02:00,2023-10-08 08:55:29+02:00,132.61666666666667,2023-10-08
235116577,NJORD BALDER,HSC,,3371,0.9851692,1.0,0.1,0.6221892613467814,2023-10-08 08:34:50+02:00,2023-10-08 16:53:59+02:00,499.15,2023-10-08
244281000,COS MATE,HSC,9929417,2026,0.95522743,1.0,0.1,1.8426456071076012,2023-10-08 08:42:35+02:00,2023-10-08 17:44:56+02:00,542.35,2023-10-08
245554000,FAIRPLAYER,Undefined,9371579,1164,0.9906396,1.0,0.1,0.702405498281787,2023-10-08 02:03:56+02:00,2023-10-09 01:56:07+02:00,1432.1833333333334,2023-10-08
245663000,SEAZIP 7,HSC,9831957,8086,0.97703856,1.0,0.1,0.7001113034875093,2023-10-08 07:53:28+02:00,2023-10-09 01:59:55+02:00,1086.45,2023-10-08
246910000,MAX,Towing long/wide,9652404,356,0.97246885,1.0,2.2,3.2042134831460674,2023-10-08 06:33:14+02:00,2023-10-08 07:32:55+02:00,59.68333333333333,2023-10-08
253641000,GEO OCEAN IV,Dredging,8704858,2925,0.91232806,1.0,1.1,3.307726495726496,2023-10-08 15:53:20+02:00,2023-10-09 01:52:29+02:00,599.15,2023-10-08
253754000,GEO OCEAN V,Undefined,9668544,4477,0.9814147,1.0,1.3,3.6252401161492074,2023-10-08 02:02:36+02:00,2023-10-09 01:59:22+02:00,1436.7666666666667,2023-10-08
257617000,CURRENT SPIRIT,Tanker,9843924,1501,1.0,1.0,0.1,0.9415056628914058,2023-10-08 02:03:54+02:00,2023-10-09 01:45:25+02:00,1421.5166666666667,2023-10-08
259578000,SUBSEA VIKING,Undefined,9182899,4852,1.0,1.0,0.1,0.6612530915086562,2023-10-08 02:00:21+02:00,2023-10-09 01:59:50+02:00,1439.4833333333333,2023-10-08
261003220,F/V SPARROW,Fishing,,780,0.85175884,1.0,0.1,2.5187179487179487,2023-10-08 23:40:14+02:00,2023-10-09 01:43:10+02:00,122.93333333333334,2023-10-08
261457000,NATO WARSHIP 641,Military,,8272,0.9814207,1.0,0.1,2.9027562862669245,2023-10-08 03:00:58+02:00,2023-10-08 22:36:18+02:00,1175.3333333333333,2023-10-08
265005000,MELINA   SIN 77,Undefined,,1695,0.8967342,1.0,0.1,2.40094395280236,2023-10-08 02:00:08+02:00,2023-10-09 01:58:26+02:00,1438.3,2023-10-08
265045800,FG 19 SILVANA,Undefined,,91,0.7822014,1.0,0.3,1.7131868131868133,2023-10-08 12:00:58+02:00,2023-10-08 13:54:11+02:00,113.21666666666667,2023-10-08
265621060,EVELINA  FG37,Fishing,,2059,0.92826337,1.0,0.3,2.5677513355998056,2023-10-08 18:29:56+02:00,2023-10-09 01:59:06+02:00,449.1666666666667,2023-10-08
265703000,VG59 LIPTON,Fishing,,1915,0.8571654,1.0,0.6,2.51822454308094,2023-10-08 18:13:04+02:00,2023-10-09 01:59:54+02:00,466.8333333333333,2023-10-08
266057000,FG 96 CINDY VESTER,Fishing,,2938,0.8525701,1.0,0.2,2.3877467665078282,2023-10-08 18:22:32+02:00,2023-10-09 01:59:50+02:00,457.3,2023-10-08
266066000,INGUN,Fishing,,622,0.9391121,1.0,1.7,1.8218649517684888,2023-10-08 23:33:06+02:00,2023-10-09 01:59:55+02:00,146.81666666666666,2023-10-08
266139000,FG-31 LYNGSKAR,Fishing,,3349,0.82402647,1.0,0.2,2.2577187220065693,2023-10-08 17:16:47+02:00,2023-10-09 01:43:30+02:00,506.71666666666664,2023-10-08
266145000,GLITTFORS,Fishing,,2359,0.78054893,1.0,0.2,2.540652818991098,2023-10-08 18:32:37+02:00,2023-10-09 01:59:56+02:00,447.31666666666666,2023-10-08
266150000,SANDEFJORD,Fishing,,647,1.0,1.0,1.1,1.8627511591962906,2023-10-08 23:24:27+02:00,2023-10-09 01:59:46+02:00,155.31666666666666,2023-10-08
266160000,VG29 CHRISTINA,Fishing,,3684,0.8096881,1.0,0.3,2.354940282301846,2023-10-08 15:45:12+02:00,2023-10-09 01:59:45+02:00,614.55,2023-10-08
266166000,VG45 WESTLAND,Fishing,,2670,0.94390875,1.0,0.5,2.500112359550562,2023-10-08 18:02:44+02:00,2023-10-09 01:59:56+02:00,477.2,2023-10-08
266180000,KLINGERO,Fishing,,23,0.7902184,1.0,1.2,2.152173913043478,2023-10-08 12:32:17+02:00,2023-10-08 22:54:27+02:00,622.1666666666666,2023-10-08
266413000,TUNA CLIPPER,Undefined,,280,0.8875376,1.0,0.1,1.8728571428571428,2023-10-08 10:22:28+02:00,2023-10-08 16:06:40+02:00,344.2,2023-10-08
270354000,OCEAN JOURNEY,Sailing,,19,0.89479136,1.0,3.1,3.663157894736842,2023-10-08 02:57:51+02:00,2023-10-08 05:54:14+02:00,176.38333333333333,2023-10-08
276867000,SALLA,Cargo,8906212,210,0.98596793,1.0,2.0,3.269047619047619,2023-10-08 06:38:15+02:00,2023-10-08 07:28:44+02:00,50.483333333333334,2023-10-08
316041032,WICKY SPIRIT,Tanker,9404388,1162,0.8265366,1.0,3.3,3.8079173838209983,2023-10-08 06:52:03+02:00,2023-10-08 23:55:43+02:00,1023.6666666666666,2023-10-08
636017417,NAVIGATOR LUGA,Undefined,9761164,429,1.0,1.0,0.1,0.20163170163170163,2023-10-08 02:00:37+02:00,2023-10-09 01:56:10+02:00,1435.55,2023-10-08
219009731,KAHA,Sailing,,45,0.8882526,0.99172616,0.6,2.448888888888889,2023-10-08 16:40:55+02:00,2023-10-08 18:09:39+02:00,88.73333333333333,2023-10-08
211276390,CEFYA,Sailing,,33,0.65091246,0.989641,2.3,3.009090909090909,2023-10-08 12:16:09+02:00,2023-10-08 12:52:42+02:00,36.55,2023-10-08
211414320,PASSATEMPO,Sailing,,11,0.9188986,0.989641,3.3,3.627272727272727,2023-10-08 10:08:50+02:00,2023-10-08 10:51:24+02:00,42.56666666666667,2023-10-08
211874960,ARCHE DE NOE,Sailing,,41,0.78243834,0.989641,1.7,3.1268292682926826,2023-10-08 12:24:33+02:00,2023-10-08 13:07:33+02:00,43.0,2023-10-08
219002794,SKJOLD,Undefined,,23,0.88441616,0.98323876,0.3,2.465217391304348,2023-10-08 08:15:11+02:00,2023-10-08 09:12:08+02:00,56.95,2023-10-08
248622000,KETLIN,Cargo,9342152,137,0.9814226,0.9814226,0.1,0.10656934306569345,2023-10-08 02:22:40+02:00,2023-10-09 00:06:43+02:00,1304.05,2023-10-08
304502000,KRIS,Cargo,9408889,89,0.9814226,0.9814226,0.1,1.2764044943820223,2023-10-08 02:29:20+02:00,2023-10-08 14:01:32+02:00,692.2,2023-10-08
219021926,GEISHA,Sailing,,1,0.9777534,0.9777534,2.8,2.8,2023-10-08 12:18:54+02:00,2023-10-08 12:18:54+02:00,0.0,2023-10-08
211231360,KALAMI STAR,Sailing,,16,0.97468966,0.97468966,1.0,2.61875,2023-10-08 17:49:43+02:00,2023-10-08 17:57:44+02:00,8.016666666666667,2023-10-08
211869710,NEUSTADT,Law enforcement,9934797,232,0.8176361,0.96962756,3.4,3.600862068965517,2023-10-08 13:38:24+02:00,2023-10-08 16:08:34+02:00,150.16666666666666,2023-10-08
219025029,GUYANNE,Sailing,,84,0.6123053,0.9654598,2.0,3.3,2023-10-08 13:12:23+02:00,2023-10-08 15:58:23+02:00,166.0,2023-10-08
219923000,CABLE ONE,Diving,7409281,452,0.79876596,0.9654598,0.1,1.3384955752212389,2023-10-08 07:04:59+02:00,2023-10-09 01:57:58+02:00,1132.9833333333333,2023-10-08
244700959,SC SAPPHIRE,Port tender,,205,0.96136355,0.96136355,0.1,1.2258536585365853,2023-10-08 06:04:43+02:00,2023-10-08 06:35:00+02:00,30.283333333333335,2023-10-08
219001771,DJURS WIND,HSC,9657569,2025,0.95728177,0.9608078,0.1,0.6511111111111111,2023-10-08 08:08:57+02:00,2023-10-08 14:16:28+02:00,367.51666666666665,2023-10-08
219016873,ANHOLT WIND,HSC,9657557,367,0.9608078,0.9608078,0.1,0.7228882833787467,2023-10-08 10:33:58+02:00,2023-10-08 11:32:31+02:00,58.55,2023-10-08
261000333,CASINO ROYALE,Sailing,,116,0.88094527,0.9602413,0.9,3.173275862068966,2023-10-08 11:40:22+02:00,2023-10-08 15:07:21+02:00,206.98333333333332,2023-10-08
219002413,LILLI KIRK,Fishing,,399,0.53952354,0.95818967,0.1,0.5588972431077694,2023-10-08 15:07:08+02:00,2023-10-09 01:42:18+02:00,635.1666666666666,2023-10-08
211409660,CAPELLA,Undefined,9296949,450,0.94971085,0.94971085,0.1,0.43466666666666665,2023-10-08 02:10:22+02:00,2023-10-09 01:59:34+02:00,1429.2,2023-10-08
211735240,MANHATTAN PEARL,Undefined,,1,0.94971085,0.94971085,3.1,3.1,2023-10-08 09:03:57+02:00,2023-10-08 09:03:57+02:00,0.0,2023-10-08
211146640,MARIEE EN BLANC,Sailing,,2,0.94317746,0.94317746,3.4,3.65,2023-10-08 11:09:31+02:00,2023-10-08 11:10:01+02:00,0.5,2023-10-08
211188000,DEUTSCHLAND,Passenger,9151541,536,0.7861466,0.94317746,0.1,1.4069029850746269,2023-10-08 03:37:22+02:00,2023-10-09 01:51:13+02:00,1333.85,2023-10-08
211295480,PLAYHARDER,Undefined,,200,0.72730905,0.94317746,0.7,2.668,2023-10-08 02:01:57+02:00,2023-10-08 06:02:00+02:00,240.05,2023-10-08
219448000,GUARD VESSEL ARRIVER,Undefined,9669005,1103,0.65303266,0.94317746,0.1,1.2932003626473256,2023-10-08 02:00:04+02:00,2023-10-08 21:04:10+02:00,1144.1,2023-10-08
244730468,WAALSTROOM,Undefined,9776169,8399,0.82406455,0.94317746,0.1,1.2510179783307536,2023-10-08 02:00:02+02:00,2023-10-08 22:21:42+02:00,1221.6666666666667,2023-10-08
244750806,GUARDIAN,Other,,764,0.8843889,0.94317746,0.1,1.817670157068063,2023-10-08 09:51:59+02:00,2023-10-08 14:56:58+02:00,304.98333333333335,2023-10-08
211198560,MIEKE,Pleasure,,5,0.8682658,0.9389965,1.6,2.94,2023-10-08 09:28:22+02:00,2023-10-08 09:33:22+02:00,5.0,2023-10-08
219019354,MARI,Cargo,,2768,0.7531192,0.93474686,0.9,1.5478323699421963,2023-10-08 12:04:57+02:00,2023-10-09 01:59:55+02:00,834.9666666666667,2023-10-08
219032764,FILLEMONNE,Sailing,,69,0.92500025,0.92500025,1.0,2.050724637681159,2023-10-08 14:14:32+02:00,2023-10-08 14:48:54+02:00,34.36666666666667,2023-10-08
211555180,LARA,Undefined,,20,0.59310114,0.92455786,0.1,1.69,2023-10-08 04:35:01+02:00,2023-10-08 05:39:31+02:00,64.5,2023-10-08
211838680,PADDINGTON,Undefined,,37,0.92430806,0.92430806,2.2,2.708108108108108,2023-10-08 08:37:14+02:00,2023-10-08 09:03:11+02:00,25.95,2023-10-08
211850880,SVEA,Sailing,,40,0.6862297,0.9163639,0.1,2.98,2023-10-08 11:19:14+02:00,2023-10-08 12:19:45+02:00,60.516666666666666,2023-10-08
219022702,RUSALKA,Sailing,,60,0.70610595,0.9163639,1.2,2.6683333333333334,2023-10-08 12:35:04+02:00,2023-10-08 13:32:35+02:00,57.516666666666666,2023-10-08
211879900,TAPATYA,Sailing,,132,0.7982438,0.91529274,1.5,3.0257575757575754,2023-10-08 11:49:04+02:00,2023-10-08 14:08:00+02:00,138.93333333333334,2023-10-08
211523660,FLEMHUDE,Tug,5346473,216,0.8483708,0.9116592,0.2,2.571296296296296,2023-10-08 14:33:25+02:00,2023-10-08 15:38:17+02:00,64.86666666666666,2023-10-08
219030406,SANDBORN,Dredging,9965667,2828,0.85717547,0.91029614,0.1,0.3800919377652051,2023-10-08 04:19:32+02:00,2023-10-09 01:59:58+02:00,1300.4333333333334,2023-10-08
266050000,WIJKLAND,Fishing,,926,0.7153453,0.88997847,0.4,2.4848812095032398,2023-10-08 09:33:04+02:00,2023-10-08 13:18:23+02:00,225.31666666666666,2023-10-08
219015985,EOS,Sailing,,139,0.7312576,0.88976365,1.9,3.1676258992805755,2023-10-08 10:39:19+02:00,2023-10-08 16:01:49+02:00,322.5,2023-10-08
245693000,KILSTROOM,Tug,9766425,9606,0.75604635,0.8850014,0.1,1.5091609410784925,2023-10-08 03:31:27+02:00,2023-10-09 01:59:47+02:00,1348.3333333333333,2023-10-08
219009338,WIND SUPPORTER,Passenger,,2213,0.7894581,0.87756884,0.1,0.2281066425666516,2023-10-08 08:03:43+02:00,2023-10-08 16:46:40+02:00,522.95,2023-10-08
