mmsi,reason,span_km,ping_count,name,type
2655075,stationary,0.003,146,MMSI 2655075,other
2655080,stationary,0.004,208,MMSI 2655080,other
2655085,stationary,0.001,264,MMSI 2655085,other
2655087,stationary,0.003,744,MMSI 2655087,other
2655090,base_station,31.885,189,MMSI 2655090,other
2655100,stationary,0.002,356,MMSI 2655100,other
2655101,stationary,0.002,96,MMSI 2655101,other
2655105,stationary,0.006,400,MMSI 2655105,other
2655110,stationary,0.003,452,MMSI 2655110,other
2655115,base_station,0.577,1298,MMSI 2655115,other
2655120,base_station,27.032,2497,MMSI 2655120,other
2655125,base_station,0.475,3195,MMSI 2655125,other
2655130,stationary,0.003,3202,MMSI 2655130,other
2655135,stationary,0.003,3202,MMSI 2655135,other
2655140,base_station,1.664,3203,MMSI 2655140,other
2655146,stationary,0.002,3202,MMSI 2655146,other
2655148,stationary,0.004,3202,MMSI 2655148,other
2655150,base_station,3.194,3230,MMSI 2655150,other
2655153,stationary,0.004,3202,MMSI 2655153,other
2655155,stationary,0.002,478,MMSI 2655155,other
2655160,stationary,0.001,1726,MMSI 2655160,other
2655161,stationary,0.003,2230,MMSI 2655161,other
2655162,stationary,0.004,596,MMSI 2655162,other
2655170,stationary,0.002,2960,MMSI 2655170,other
2655180,stationary,0.003,1168,MMSI 2655180,other
2655185,base_station,120.527,2890,MMSI 2655185,other
2665101,stationary,0.0,4,MMSI 2665101,other
2665150,stationary,0.0,2,MMSI 2665150,other
2731260,base_station,0.644,166,MMSI 2731260,other
2731272,stationary,0.002,90,MMSI 2731272,other
2731282,stationary,0.003,238,MMSI 2731282,other
2734451,stationary,0.0,2,MMSI 2734451,other
2734462,stationary,0.002,148,MMSI 2734462,other
2734469,stationary,0.0,2,MMSI 2734469,other
2734488,stationary,0.002,328,MMSI 2734488,other
2750110,stationary,0.0,6,MMSI 2750110,other
2750120,base_station,90.695,8,MMSI 2750120,other
2750150,stationary,0.006,116,MMSI 2750150,other
2750160,stationary,0.002,136,MMSI 2750160,other
2750170,stationary,0.0,44,MMSI 2750170,other
2750180,stationary,0.004,178,MMSI 2750180,other
2750190,stationary,0.002,174,MMSI 2750190,other
2766000,stationary,0.008,30,MMSI 2766000,other
2766010,base_station,0.678,84,MMSI 2766010,other
2766020,stationary,0.113,48,MMSI 2766020,other
2766030,base_station,0.212,111,MMSI 2766030,other
2766040,stationary,0.006,32,MMSI 2766040,other
2766050,stationary,0.01,86,MMSI 2766050,other
2766060,stationary,0.006,54,MMSI 2766060,other
2766080,stationary,0.0,2,MMSI 2766080,other
2766100,stationary,0.004,6,MMSI 2766100,other
2766140,stationary,0.001,4,MMSI 2766140,other
2766190,stationary,0.0,2,MMSI 2766190,other
2770030,base_station,4.225,22,Klaipedavts,other
2770090,stationary,0.004,236,MMSI 2770090,other
2770100,stationary,0.004,42,MMSI 2770100,other
2770110,stationary,0.001,16,MMSI 2770110,other
2855000,stationary,0.035,14,MMSI 2855000,other
9000010,stationary,0.009,2,Onwashenzhen,other
9000016,base_station,30.303,7,Onwashenzhen,other
9000180,base_station,32.603,16,Onwashenzhen,other
9000366,stationary,0.0,2,Onwashenzhen,other
9000517,base_station,23.581,20,Onwashenzhen,other
9001444,base_station,195.561,28,MMSI 9001444,other
9004549,stationary,0.002,2,Onwashenzhen,other
9004575,stationary,0.002,2,Onwashenzhen,other
