incident_id,vessel_mmsi,vessel_name,vessel_type,signal_type,gap_start_utc,gap_end_utc,gap_hours,last_seen_lat,last_seen_lon,reappear_lat,reappear_lon,gap_midpoint_lat,gap_midpoint_lon
INC-2024-11-18,218795000,ROBIN HOOD,Passenger,ais_blackout,2024-11-18T05:50:45+01:00,2024-11-18T21:22:38+01:00,15.53,55.99799,15.31913,55.99995,15.30935,55.99897,15.31424
INC-2024-11-18,218795000,ROBIN HOOD,Passenger,ais_blackout,2024-11-18T22:49:55+01:00,2024-11-20T04:43:47+01:00,29.9,55.90138,15.99954,55.89314,16.08907,55.89726,16.04431
INC-2024-11-18,218856000,ANOUK,Cargo,ais_dark_approach,,,,55.80129,15.6627,55.80129,15.6627,55.80129,15.6627
INC-2024-11-18,219002418,PETER,Passenger,ais_blackout,2024-11-15T14:01:25+01:00,2024-11-18T10:44:34+01:00,68.72,55.22848,15.00029,55.22808,15.0005,55.22828,15.0004
INC-2024-11-18,219002418,PETER,Passenger,ais_blackout,2024-11-18T13:57:15+01:00,2024-11-19T10:12:05+01:00,20.25,55.23259,15.00017,55.23053,15.0003,55.23156,15.00024
INC-2024-11-18,219014244,TITRO,Undefined,ais_blackout,2024-11-15T14:45:01+01:00,2024-11-17T10:52:52+01:00,44.13,55.06257,15.13475,55.06256,15.13473,55.06256,15.13474
INC-2024-11-18,219014244,TITRO,Undefined,ais_blackout,2024-11-17T11:15:52+01:00,2024-11-19T10:42:41+01:00,47.45,55.06257,15.13477,55.06257,15.13472,55.06257,15.13474
INC-2024-11-18,219016547,ELEPHANTEN,Passenger,ais_blackout,2024-11-17T08:13:33+01:00,2024-11-18T00:08:41+01:00,15.92,55.06258,15.13561,55.05812,15.1357,55.06035,15.13565
INC-2024-11-18,219016547,ELEPHANTEN,Passenger,ais_blackout,2024-11-18T11:29:32+01:00,2024-11-19T00:19:25+01:00,12.83,55.05814,15.13577,55.05811,15.13576,55.05813,15.13577
INC-2024-11-18,219016547,ELEPHANTEN,Passenger,ais_blackout,2024-11-19T07:50:21+01:00,2024-11-19T10:02:43+01:00,2.21,55.05819,15.13578,55.05819,15.13578,55.05819,15.13578
INC-2024-11-18,219017151,SIMA,Other,ais_dark_approach,,,,55.48877,15.00045,55.48877,15.00045,55.48877,15.00045
INC-2024-11-18,219021615,RIB-KRST 850 001/16,SAR,ais_blackout,2024-11-17T07:02:46+01:00,2024-11-17T16:13:34+01:00,9.18,55.24756,15.1739,55.27627,15.17125,55.26191,15.17257
INC-2024-11-18,219021615,RIB-KRST 850 001/16,SAR,ais_blackout,2024-11-17T16:35:34+01:00,2024-11-20T09:30:03+01:00,64.91,55.32009,15.18523,55.31997,15.18518,55.32003,15.1852
INC-2024-11-18,219023449,R9 DITTE,Fishing,ais_dark_approach,,,,55.05872,15.13752,55.05872,15.13752,55.05872,15.13752
INC-2024-11-18,219028076,,Undefined,ais_dark_approach,,,,55.05854,15.13252,55.05854,15.13252,55.05854,15.13252
INC-2024-11-18,219028115,LUNA SEAWAYS,Passenger,ais_blackout,2024-11-17T00:48:58+01:00,2024-11-18T03:50:15+01:00,27.02,55.8914,16.28121,55.89773,16.03915,55.89456,16.16018
INC-2024-11-18,219028115,LUNA SEAWAYS,Passenger,ais_blackout,2024-11-18T05:13:45+01:00,2024-11-18T19:20:11+01:00,14.11,55.99998,15.29967,55.99978,15.30613,55.99988,15.3029
INC-2024-11-18,219028115,LUNA SEAWAYS,Passenger,ais_blackout,2024-11-18T20:44:17+01:00,2024-11-20T05:17:38+01:00,32.56,55.90259,15.9349,55.89942,16.05037,55.90101,15.99264
INC-2024-11-18,219028116,AURA SEAWAYS,Passenger,ais_blackout,2024-11-17T11:06:51+01:00,2024-11-19T04:31:58+01:00,41.42,55.11152,16.408,55.10417,16.35337,55.10784,16.38068
INC-2024-11-18,219028116,AURA SEAWAYS,Passenger,ais_blackout,2024-11-19T06:46:28+01:00,2024-11-20T07:08:19+01:00,24.36,54.93388,15.0005,55.44459,15.0007,55.18923,15.0006
INC-2024-11-18,219030885,STENA ESTELLE,Undefined,ais_blackout,2024-11-16T22:06:38+01:00,2024-11-18T22:15:10+01:00,48.14,55.97295,15.8114,55.90231,15.98708,55.93763,15.89924
INC-2024-11-18,219030885,STENA ESTELLE,Undefined,ais_blackout,2024-11-18T22:15:10+01:00,2024-11-19T21:56:47+01:00,23.69,55.90231,15.98708,55.96642,15.82108,55.93437,15.90408
INC-2024-11-18,219031310,STENA EBBA,Undefined,ais_blackout,2024-11-16T12:04:15+01:00,2024-11-17T22:02:22+01:00,33.97,55.86879,16.10246,55.99749,15.74603,55.93314,15.92425
INC-2024-11-18,219031310,STENA EBBA,Undefined,ais_blackout,2024-11-17T22:07:10+01:00,2024-11-19T10:21:23+01:00,36.24,55.98667,15.77399,55.89517,15.97601,55.94092,15.875
INC-2024-11-18,219031336,NORDWIND,Pleasure,ais_blackout,2024-11-17T09:52:21+01:00,2024-11-17T12:58:21+01:00,3.1,55.06102,15.07583,55.06102,15.07583,55.06102,15.07583
INC-2024-11-18,219031336,NORDWIND,Pleasure,ais_blackout,2024-11-18T01:47:51+01:00,2024-11-18T04:53:17+01:00,3.09,55.06101,15.07578,55.06101,15.07578,55.06101,15.07578
INC-2024-11-18,219031487,STENA LIVIA,Passenger,ais_blackout,2024-11-16T16:52:35+01:00,2024-11-17T18:31:47+01:00,25.65,55.67163,16.29979,55.72252,16.11196,55.69707,16.20588
INC-2024-11-18,219031487,STENA LIVIA,Passenger,ais_blackout,2024-11-17T20:39:42+01:00,2024-11-19T02:05:15+01:00,29.43,55.54376,15.00056,55.44099,15.00057,55.49237,15.00057
INC-2024-11-18,219031487,STENA LIVIA,Passenger,ais_blackout,2024-11-19T04:26:09+01:00,2024-11-20T03:36:37+01:00,23.17,55.66829,16.28637,55.71017,16.07587,55.68923,16.18112
INC-2024-11-18,219031605,STENA SPIRIT,Undefined,ais_blackout,2024-11-17T07:40:55+01:00,2024-11-17T11:25:53+01:00,3.75,55.99946,15.74257,55.93868,15.65155,55.96907,15.69706
INC-2024-11-18,219031605,STENA SPIRIT,Undefined,ais_blackout,2024-11-17T13:05:39+01:00,2024-11-18T06:34:53+01:00,17.49,55.66354,16.27551,55.80204,16.27174,55.73279,16.27362
INC-2024-11-18,219031605,STENA SPIRIT,Undefined,ais_blackout,2024-11-18T07:58:29+01:00,2024-11-19T08:39:52+01:00,24.69,55.99904,15.746,55.79747,16.24648,55.89825,15.99624
INC-2024-11-18,219031814,LIVA BILLE,Pleasure,ais_blackout,2024-11-18T06:10:15+01:00,2024-11-18T08:51:36+01:00,2.69,55.06271,15.13646,55.06269,15.13645,55.0627,15.13646
INC-2024-11-18,219031814,LIVA BILLE,Pleasure,ais_blackout,2024-11-18T11:38:21+01:00,2024-11-18T17:19:13+01:00,5.68,55.06271,15.13648,55.06271,15.13648,55.06271,15.13648
INC-2024-11-18,219031814,LIVA BILLE,Pleasure,ais_blackout,2024-11-18T19:24:47+01:00,2024-11-19T00:05:23+01:00,4.68,55.06271,15.13646,55.0627,15.13647,55.06271,15.13646
INC-2024-11-18,219031814,LIVA BILLE,Pleasure,ais_blackout,2024-11-19T02:22:02+01:00,2024-11-19T10:38:31+01:00,8.27,55.06268,15.13647,55.06271,15.13644,55.0627,15.13645
INC-2024-11-18,219309000,GIJON KNUTSEN,Tanker,ais_dark_approach,,,,55.45854,15.00088,55.45854,15.00088,55.45854,15.00088
INC-2024-11-18,219309000,GIJON KNUTSEN,Tanker,ais_blackout,2024-11-19T00:26:04+01:00,2024-11-21T00:22:47+01:00,47.95,55.32165,16.3197,55.33298,16.44587,55.32732,16.38278
INC-2024-11-18,219384000,DANA,Other,ais_blackout,2024-11-17T14:33:59+01:00,2024-11-19T04:02:35+01:00,37.48,55.28813,15.96461,55.59348,15.67004,55.44081,15.81732
INC-2024-11-18,219560000,STENA FLAVIA,Passenger,ais_blackout,2024-11-16T08:48:55+01:00,2024-11-17T10:27:57+01:00,25.65,55.54487,15.00056,55.43381,15.00047,55.48934,15.00051
INC-2024-11-18,219560000,STENA FLAVIA,Passenger,ais_blackout,2024-11-17T13:12:46+01:00,2024-11-18T22:38:34+01:00,33.43,55.69015,16.36799,55.73821,16.08944,55.71418,16.22871
INC-2024-11-18,219560000,STENA FLAVIA,Passenger,ais_blackout,2024-11-19T00:35:46+01:00,2024-11-20T13:41:47+01:00,37.1,55.53949,15.00055,55.45486,15.00017,55.49717,15.00036
INC-2024-11-18,219850000,JOULIUS,Undefined,ais_dark_approach,,,,55.49343,15.00013,55.49343,15.00013,55.49343,15.00013
INC-2024-11-18,220189000,HDMS ABSALON,Military,ais_dark_approach,,,,54.94486,15.00007,54.94486,15.00007,54.94486,15.00007
INC-2024-11-18,220648000,KARINA THERESA,Tanker,ais_dark_approach,,,,55.49853,15.0004,55.49853,15.0004,55.49853,15.0004
INC-2024-11-18,220648000,KARINA THERESA,Tanker,ais_blackout,2024-11-18T03:28:20+01:00,2024-11-19T03:28:28+01:00,24.0,55.78157,15.92422,55.96736,16.04677,55.87446,15.98549
INC-2024-11-18,220648000,KARINA THERESA,Tanker,ais_blackout,2024-11-19T07:05:58+01:00,2024-11-20T17:24:23+01:00,34.31,55.90282,15.00049,55.76482,15.00061,55.83382,15.00055
INC-2024-11-18,229246000,KRISTEL,Cargo,ais_dark_approach,,,,55.86897,15.91451,55.86897,15.91451,55.86897,15.91451
INC-2024-11-18,229630000,X-PRESS MULHACEN,Cargo,ais_dark_approach,,,,55.90154,16.0214,55.90154,16.0214,55.90154,16.0214
INC-2024-11-18,230352000,MARJATTA,Cargo,ais_dark_approach,,,,55.48865,15.00018,55.48865,15.00018,55.48865,15.00018
INC-2024-11-18,230617000,FINNBREEZE,Cargo,ais_blackout,2024-11-17T08:14:56+01:00,2024-11-19T05:21:19+01:00,45.11,55.80315,16.07668,55.97284,16.16944,55.888,16.12306
